"TIME";"Date";"Hour";"Hourly irrigation requirements (m3)";"Suggested Soil Moisture (%)";"Irrigation Suggested (m3)";"Irrigation Limit (m3)"
2024-10-17 22:00:00;"2024-10-17";22;1.22191143532717;21.3168707660206;0;0
2024-10-17 23:00:00;"2024-10-17";23;1.22989077006198;21.3157872147436;0;0
2024-10-18 00:00:00;"2024-10-18";0;1.23785629660812;21.3125987013034;0;0
2024-10-18 01:00:00;"2024-10-18";1;1.23784798357701;21.3113230816929;0;0
2024-10-18 02:00:00;"2024-10-18";2;1.24583044691539;21.3107661980134;0;0
2024-10-18 03:00:00;"2024-10-18";3;1.25379484151823;21.3074794811327;0;0
2024-10-18 04:00:00;"2024-10-18";4;1.25379052709366;21.3068260050283;0;0
2024-10-18 05:00:00;"2024-10-18";5;1.26177250593839;21.306231816874;0;0
2024-10-18 06:00:00;"2024-10-18";6;1.26176171914509;21.3046084734768;0;0
2024-10-18 07:00:00;"2024-10-18";7;1.2697367225476;21.3029889484549;0;0
2024-10-18 08:00:00;"2024-10-18";8;1.28567690196898;21.2983595541707;0;0
2024-10-18 09:00:00;"2024-10-18";9;1.28566486253429;21.2965820465914;0;0
2024-10-18 10:00:00;"2024-10-18";10;1.30957645031488;21.290075327812;0;0
2024-10-18 11:00:00;"2024-10-18";11;1.39720192965741;21.2613103633173;0;0
2024-10-18 12:00:00;"2024-10-18";12;1.55648458146374;21.2129694428877;0;0
2024-10-18 13:00:00;"2024-10-18";13;1.73952533612272;21.1538695354555;0;0
2024-10-18 14:00:00;"2024-10-18";14;1.89862610459038;21.1054013741759;0;0
2024-10-18 15:00:00;"2024-10-18";15;2.20065472565801;21.0104728153284;0;0
2024-10-18 16:00:00;"2024-10-18";16;2.31978055327579;20.9721705830483;0;0
2024-10-18 17:00:00;"2024-10-18";17;2.5103076735582;20.9130685685083;0;0
2024-10-18 18:00:00;"2024-10-18";18;2.62138633128501;20.8782192669689;0;0
2024-10-18 19:00:00;"2024-10-18";19;2.69274753720477;20.8541552776519;0;0
2024-10-18 20:00:00;"2024-10-18";20;2.74827764058272;20.8381434575854;0;0
2024-10-18 21:00:00;"2024-10-18";21;2.75618860519713;20.8344338243155;0;0
2024-10-18 22:00:00;"2024-10-18";22;2.75619093251884;20.8345906213287;0;0
2024-10-18 23:00:00;"2024-10-18";23;2.7561860051754;20.8342586561148;0;0
2024-10-19 00:00:00;"2024-10-19";0;2.75618357003338;20.8340945973459;0;0
2024-10-19 01:00:00;"2024-10-19";1;2.76413449915184;20.8330923823805;0;0
2024-10-19 02:00:00;"2024-10-19";2;2.76412207550435;20.8322578501601;0;0
2024-10-19 03:00:00;"2024-10-19";3;2.7720493302814;20.8296783157832;0;0
2024-10-19 04:00:00;"2024-10-19";4;2.77203938976461;20.829012595862;0;0
2024-10-19 05:00:00;"2024-10-19";5;2.77999021449549;20.8280239288933;0;0
2024-10-19 06:00:00;"2024-10-19";6;2.78791578616807;20.8253596359771;0;0
2024-10-19 07:00:00;"2024-10-19";7;2.79584770576779;20.8231321982008;0;0
2024-10-19 08:00:00;"2024-10-19";8;2.80376952169707;20.8202489186589;0;0
2024-10-19 09:00:00;"2024-10-19";9;2.81171096140399;20.8186772979598;0;0
2024-10-19 10:00:00;"2024-10-19";10;2.82753686872874;20.8118232193398;0;0
2024-10-19 11:00:00;"2024-10-19";11;2.94641161672995;20.7741742627988;0;0
2024-10-19 12:00:00;"2024-10-19";12;3.06526154266887;20.7380158039853;0;0
2024-10-19 13:00:00;"2024-10-19";13;3.21570525061139;20.6904312172346;0;0
2024-10-19 14:00:00;"2024-10-19";14;3.29485690096922;20.6655413042935;0;0
2024-10-19 15:00:00;"2024-10-19";15;3.5400782877558;20.5879238245595;0;0
2024-10-19 16:00:00;"2024-10-19";16;3.76928648532543;20.515359523462;0;0
2024-10-19 17:00:00;"2024-10-19";17;3.94304025422658;20.4601661241952;0;0
2024-10-19 18:00:00;"2024-10-19";18;4.15614664579572;20.3929436520179;0;0
2024-10-19 19:00:00;"2024-10-19";19;4.27446858740475;20.3555969330687;0;0
2024-10-19 20:00:00;"2024-10-19";20;4.30602701045152;20.3462454437434;0;0
2024-10-19 21:00:00;"2024-10-19";21;4.31387126648962;20.3420236710025;0;0
2024-10-19 22:00:00;"2024-10-19";22;4.31385511425515;20.3413448421478;0;0
2024-10-19 23:00:00;"2024-10-19";23;4.32179567615904;20.3411802911632;4.32179567615904;0
2024-10-20 00:00:00;"2024-10-20";0;0;20.3378507842755;0;0
2024-10-20 01:00:00;"2024-10-20";1;0;21.8484729679222;0;0
2024-10-20 02:00:00;"2024-10-20";2;0;21.8418480142903;0;0
2024-10-20 03:00:00;"2024-10-20";3;0;21.8378453701798;0;0
2024-10-20 04:00:00;"2024-10-20";4;0;21.8327873996897;0;0
2024-10-20 05:00:00;"2024-10-20";5;0;21.8289332658052;0;0
2024-10-20 06:00:00;"2024-10-20";6;0;21.8262175208075;0;0
2024-10-20 07:00:00;"2024-10-20";7;0;21.8185866692493;0;0
2024-10-20 08:00:00;"2024-10-20";8;0;21.8154969060735;0;0
2024-10-20 09:00:00;"2024-10-20";9;0;21.8123560987824;0;0
2024-10-20 10:00:00;"2024-10-20";10;0;21.8052876272019;0;0
2024-10-20 11:00:00;"2024-10-20";11;0;21.771418840854;0;0
2024-10-20 12:00:00;"2024-10-20";12;0;21.7247905289067;0;0
2024-10-20 13:00:00;"2024-10-20";13;0.136010016245035;21.6580290139716;0;0
2024-10-20 14:00:00;"2024-10-20";14;0.351903847862385;21.5911811018841;0;0
2024-10-20 15:00:00;"2024-10-20";15;0.615563811417635;21.5076048300881;0;0
2024-10-20 16:00:00;"2024-10-20";16;0.831122476354902;21.4412058387624;0;0
2024-10-20 17:00:00;"2024-10-20";17;1.01462243022035;21.3836626710922;0;0
2024-10-20 18:00:00;"2024-10-20";18;1.13423290935252;21.3455885480817;0;0
2024-10-20 19:00:00;"2024-10-20";19;1.22988331010295;21.314634908282;0;0
2024-10-20 20:00:00;"2024-10-20";20;1.25379128168276;21.306940296146;0;0
2024-10-20 21:00:00;"2024-10-20";21;1.2617649198099;21.3050901416014;0;0
2024-10-20 22:00:00;"2024-10-20";22;1.26175732692662;21.3039475041491;0;0
2024-10-20 23:00:00;"2024-10-20";23;1.26973435834049;21.3026354265528;0;0
2024-10-21 00:00:00;"2024-10-21";0;1.27770935971512;21.3010381844502;0;0
2024-10-21 01:00:00;"2024-10-21";1;1.27769729089571;21.2992450023411;0;5.84711014147505
2024-10-21 02:00:00;"2024-10-21";2;1.28567349176059;21.2978560560937;0;0
2024-10-21 03:00:00;"2024-10-21";3;1.28566306134799;21.2963161299586;0;0
2024-10-21 04:00:00;"2024-10-21";4;1.29364345852587;21.2955696675449;0;0
2024-10-21 05:00:00;"2024-10-21";5;1.30161111504916;21.2929747074619;0;0
2024-10-21 06:00:00;"2024-10-21";6;1.30160533883385;21.2921325409253;0;0
2024-10-21 07:00:00;"2024-10-21";7;1.30160299355314;21.2917906097349;0;0
2024-10-21 08:00:00;"2024-10-21";8;1.30958327242748;21.2910638383844;0;0
2024-10-21 09:00:00;"2024-10-21";9;1.31754925903809;21.2882876359373;0;0
2024-10-21 10:00:00;"2024-10-21";10;1.33347607698308;21.2821025877776;0;0
2024-10-21 11:00:00;"2024-10-21";11;1.38127651883592;21.2671570124914;0;0
2024-10-21 12:00:00;"2024-10-21";12;1.46889365990906;21.2401176842706;0;0
2024-10-21 13:00:00;"2024-10-21";13;0;21.233440097784;0;0
2024-10-21 14:00:00;"2024-10-21";14;0;23.2303913775481;0;0
2024-10-21 15:00:00;"2024-10-21";15;0;25.1687673619796;0;0
2024-10-21 16:00:00;"2024-10-21";16;0;25.9149595773539;0;0
2024-10-21 17:00:00;"2024-10-21";17;0;26.3076111210253;0;0
2024-10-21 18:00:00;"2024-10-21";18;0;26.2965112523743;0;0
